ABMI Site,RAM Lot,Sorting Tech.,Date Sorted,Date Collected,Collector(s),,,,,,Vials,Coarse Group,Kingdom,Phylum,SubPhylum,Class,SubClass,InfraClass,Order,SubOrder,Family,Subfamily,Genus,Species,Final Id,Authority,Life Stage,Determined,,,Specimen Count,Notes,Vial Storage,TMS Number,Year
W1221-D,ABMI.2022.W1221-D.A,Tebby,17-Nov-22,7/11/2022,Bishop,Bee,,,,,mv,UMOS,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Corixidae,Corixinae,Callicorixa,audeni,Callicorixa audeni,"Hungerford, 1928",adult,Tebby,Cheryl,6/12/2023,1,female,mv,ABMI.A.34197,2022
CABIN-W1221,ABMI.2022.CABIN-W1221.A,LaPierre,22-Nov-22,7/11/2022,Bishop,Bee,,,,,mv,UMOS,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Corixidae,Corixinae,Callicorixa,audeni,Callicorixa audeni,"Hungerford, 1928",adult,LaPierre,Alex,5/26/2023,3,,mv,ABMI.A.44801,2022
W1250,ABMI.2022.W1250.A,LaPierre,1-Dec-22,7/8/2022,Bishop,Bee,,,,,mv,UMOS,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Corixidae,Corixinae,Callicorixa,audeni,Callicorixa audeni,"Hungerford, 1928",adult,Tebby,Cheryl,6/15/2023,2,males,mv,ABMI.A.34228,2022
W1221,ABMI.2022.W1221.A,LaPierre,21-Nov-22,7/11/2022,Bishop,Bee,,,,,mv,UMOS,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Corixidae,Corixinae,Callicorixa,audeni,Callicorixa audeni,"Hungerford, 1928",adult,LaPierre,Alex,6/16/2023,3,female,mv,ABMI.A.34177,2022
W971,ABMI.2022.W971.A,Beamish,22-Sep-22,7/21/2022,Shaw,Linus,,,,,mv,Hemiptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Corixidae,Corixinae,Callicorixa,audeni,Callicorixa audeni,"Hungerford, 1928",adult,Tebby,Cheryl,1/19/2023,1,,mv,ABMI.A.33577,2022
CABIN-W1020-D,ABMI.2022.CABIN-W1020-D.A,Hinchliffe,13-Oct-22,7/9/2022,Shaw,Linus,,,,,mv,UMOS,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Corixidae,Corixinae,Callicorixa,audeni,Callicorixa audeni,"Hungerford, 1928",adult,LaPierre,Alex,3/27/2023,1,,mv,ABMI.A.44444,2022
W1020-D,ABMI.2022.W1020-D.A,Beamish,28-Oct-22,7/9/2022,Shaw,Linus,,,,,mv,Hemiptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Corixidae,Corixinae,Callicorixa,audeni,Callicorixa audeni,"Hungerford, 1928",adult,LaPierre,Alex,3/31/2023,2,,mv,ABMI.A.33711,2022
CABIN-W1053,ABMI.2022.CABIN-W1053.A,Lachance,25-Oct-22,7/10/2022,Shaw,Linus,,,,,mv,UMOS,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Corixidae,Corixinae,Callicorixa,audeni,Callicorixa audeni,"Hungerford, 1928",adult,LaPierre,Alex,3/31/2023,1,,mv,ABMI.A.44465,2022
CABIN-W1054-D,ABMI.2022.CABIN-W1054-D.A,LaPierre,18-Oct-22,6/29/2022,Bishop,Bee,,,,,mv,UMOS,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Corixidae,Corixinae,Callicorixa,audeni,Callicorixa audeni,"Hungerford, 1928",adult,LaPierre,Alex,4/21/2023,1,male w/ expanded stripes,mv,ABMI.A.44527,2022
W1189,ABMI.2022.W1189.A,Lachance,27-Oct-22,7/14/2022,Shaw,Linus,,,,,mv,Hemiptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Corixidae,Corixinae,Callicorixa,audeni,Callicorixa audeni,"Hungerford, 1928",adult,Tebby,Cheryl,4/13/2023,1,female,mv,ABMI.A.33945,2022
