ABMI Site,RAM Lot,Sorting Tech.,Date Sorted,Date Collected,Vials,Coarse Group,Kingdom,Phylum,SubPhylum,Class,SubClass,InfraClass,Order,SubOrder,Family,Subfamily,Genus,Species,Final Id,Authority,Life Stage,Determined,,,Specimen Count,Notes,Vial Storage,TMS Number,Year
CABIN-W1402,ABMI.2023.CABIN-W1402.A,Catbagan,8-Nov-23,7/8/2023,mv,Gastropoda,Animalia,Mollusca,,Gastropoda,,,Basommatophora,,Physidae,,Physella,sp.,Physella,"Haldeman, 1842",unknown,Hinchliffe,Robert,12/12/2023,16,,mv,ABMI.A.34455,2023
CABIN-W1402-D,ABMI.2023.CABIN-W1402-D.A, Field,6-Nov-23,7/8/2023,mv,Gastropoda,Animalia,Mollusca,,Gastropoda,,,Basommatophora,,Physidae,,Physella,sp.,Physella,"Haldeman, 1842",unknown,Hinchliffe,Robert,12/12/2023,4,,mv,ABMI.A.34453,2023
CABIN-W1069,ABMI.2023.CABIN-W1069.A, Field,14-Nov-23,7/26/2023,mv,Gastropoda,Animalia,Mollusca,,Gastropoda,,,Basommatophora,,Physidae,,Physella,sp.,Physella,"Haldeman, 1842",unknown,Hinchliffe,Robert,12/12/2023,1,,mv,ABMI.A.34469,2023
W1168,ABMI.2023.W1168.A, Field,10-Oct-23,6/27/2023,,Gastropoda,Animalia,Mollusca,,Gastropoda,,,Basommatophora,,Physidae,,Physella,sp.,Physella,"Haldeman, 1842",unknown,Hinchliffe,Robert,12/12/2023,1,,,ABMI.A.34392,2023
W1169B,ABMI.2023.W1169B.A,Catbagan,17-Nov-23,6/27/2023,mv,Gastropoda,Animalia,Mollusca,,Gastropoda,,,Basommatophora,,Physidae,,Physella,sp.,Physella,"Haldeman, 1842",unknown,Hinchliffe,Robert,12/12/2023,5,,mv,ABMI.A.34423,2023
W1402,ABMI.2023.W1402.A, Field,27-Oct-23,7/8/2023,mv,Gastropoda,Animalia,Mollusca,,Gastropoda,,,Basommatophora,,Physidae,,Physella,sp.,Physella,"Haldeman, 1842",unknown,Hinchliffe,Robert,12/12/2023,8,,mv,ABMI.A.34407,2023
W1069,ABMI.2023.W1069.A, Field,9-Nov-23,7/26/2023,mv,Gastropoda,Animalia,Mollusca,,Gastropoda,,,Basommatophora,,Physidae,,Physella,sp.,Physella,"Haldeman, 1842",unknown,Hinchliffe,Robert,12/12/2023,3,,mv,ABMI.A.34416,2023
CABIN-W198,ABMI.2023.CABIN-W198.A, Srayko,9-Nov-23,7/23/2023,,UMOS,Animalia,Mollusca,,Gastropoda,,,Basommatophora,,Physidae,,Physella,sp.,Physella,"Haldeman, 1842",unknown,Hinchliffe,Robert,12/12/2023,5,,,ABMI.A.34460,2023
CABIN-W1169B,ABMI.2023.CABIN-W1169B.A, Srayko,21-Nov-23,6/27/2023,mv,Gastropoda,Animalia,Mollusca,,Gastropoda,,,Basommatophora,,Physidae,,Physella,sp.,Physella,"Haldeman, 1842",unknown,Hinchliffe,Robert,12/12/2023,8,,mv,ABMI.A.34471,2023
CABIN-W1200B,ABMI.2023.CABIN-W1200B.A,Weller,8-Nov-23,7/14/2023,mv,Gastropoda,Animalia,Mollusca,,Gastropoda,,,Basommatophora,,Physidae,,Physella,sp.,Physella,"Haldeman, 1842",unknown,Hinchliffe,Robert,12/12/2023,10,,mv,ABMI.A.34456,2023
W1170,ABMI.2023.W1170.A,Weller,13-Oct-23,6/29/2023,mv,Gastropoda,Animalia,Mollusca,,Gastropoda,,,Basommatophora,,Physidae,,Physella,sp.,Physella,"Haldeman, 1842",unknown,Hinchliffe,Robert,12/12/2023,3,,mv,ABMI.A.34397,2023
W1510B,ABMI.2023.W1510B.A,LaPierre,8-Sep-23,7/7/2023,mv,Gastropoda,Animalia,Mollusca,,Gastropoda,,,Basommatophora,,Physidae,,Physella,gyrina,Physella gyrina,"(Say, 1821)",unknown,Hinchliffe,Robert,12/12/2023,1,,mv,ABMI.A.34382,2023
CABIN-W1510B,ABMI.2023.CABIN-W1510B.A,LaPierre,7-Sep-23,7/7/2023,mv,UMOS,Animalia,Mollusca,,Gastropoda,,,Basommatophora,,Physidae,,Physella,gyrina,Physella gyrina,"(Say, 1821)",unknown,Hinchliffe,Robert,12/12/2023,1,,mv,ABMI.A.34434,2023
CABIN-W198,ABMI.2023.CABIN-W198.A, Srayko,9-Nov-23,7/23/2023,scv,Gastropoda,Animalia,Mollusca,,Gastropoda,,,Basommatophora,,Physidae,,Physella,gyrina,Physella gyrina,"(Say, 1821)",unknown, Field,Daniel,11/29/2023,1,,scv,ABMI.A.34459,2023
W140,ABMI.2023.W140.A,Weller,16-Nov-23,7/22/2023,mv,UMOS,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Corixidae,Corixinae,Sigara,penniensis,Sigara penniensis,"(Hungerford, 1928)",adult,Weller,Zachary,12/5/2023,1,,mv,ABMI.A.61533,2023
W169,ABMI.2023.W169.A, Field,20-Nov-23,7/23/2023,mv,Hemiptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Corixidae,Corixinae,Sigara,penniensis,Sigara penniensis,"(Hungerford, 1928)",adult,Weller,Zachary,12/12/2023,1,female,mv,ABMI.A.61539,2023
CABIN-W168,ABMI.2023.CABIN-W168.A, Srayko,8-Nov-23,7/24/2023,mv,UMOS,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Corixidae,Corixinae,Sigara,penniensis,Sigara penniensis,"(Hungerford, 1928)",adult, Srayko,Stephen,11/30/2023,1,,mv,ABMI.A.70233,2023
W1134-D,ABMI.2023.W1134-D.A,Weller,20-Oct-23,6/29/2023,mv,Hemiptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Corixidae,Corixinae,Sigara,penniensis,Sigara penniensis,"(Hungerford, 1928)",adult,Weller,Zachary,12/8/2023,1,,mv,ABMI.A.61513,2023
CABIN-W1036-D,ABMI.2023.CABIN-W1036-D.A,Catbagan,27-Sep-23,7/13/2023,mv,Hemiptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Corixidae,Corixinae,Hesperocorixa,michiganensis,Hesperocorixa michiganensis,"(Hungerford, 1926)",adult,Weller,Zachary,12/12/2023,1,male,mv,ABMI.A.61552,2023
W1102,ABMI.2023.W1102.A, Srayko,6-Nov-23,7/12/2023,mv,Hemiptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Corixidae,Corixinae,Hesperocorixa,michiganensis,Hesperocorixa michiganensis,"(Hungerford, 1926)",adult,Weller,Zachary,12/11/2023,1,,mv,ABMI.A.61525,2023
W1170,ABMI.2023.W1170.A,Weller,13-Oct-23,6/29/2023,,Coleoptera (adults),Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Coleoptera,Polyphaga,Hydrophilidae,Hydrophilinae,Enochrus,diffusus,Enochrus diffusus,"(LeConte, 1855)",adult,Hinchliffe,Robert,12/7/2023,1,,,ABMI.A.34477,2023
W1549,ABMI.2023.W1549.A, Field,2-Oct-23,7/8/2023,scv,UMOS,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Coleoptera,Adephaga,Dytiscidae,Dytiscinae,Dytiscus,alaskanus,Dytiscus alaskanus,"J. Balfour-Browne, 1944",adult, Field,Daniel,11/27/2023,1,,scv,ABMI.A.34476,2023
W1510B-D,ABMI.2023.W1510B-D.A,LaPierre,8-Sep-23,7/7/2023,mv,Zygoptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Palaeoptera,Odonata,Zygoptera,Coenagrionidae,,,Coenagrion/Enallagma,Coenagrion/Enallagma,,nymph, Srayko,Stephen,12/7/2023,1,,mv,ABMI.A.70095,2023
W1510B,ABMI.2023.W1510B.A,LaPierre,8-Sep-23,7/7/2023,mv,Zygoptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Palaeoptera,Odonata,Zygoptera,Coenagrionidae,,,Coenagrion/Enallagma,Coenagrion/Enallagma,,nymph, Srayko,Stephen,12/7/2023,1,,mv,ABMI.A.70099,2023
W1170-D,ABMI.2023.W1170-D.A,Weller,11-Oct-23,6/29/2023,mv,Zygoptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Palaeoptera,Odonata,Zygoptera,Coenagrionidae,,,Coenagrion/Enallagma,Coenagrion/Enallagma,,nymph, Srayko,Stephen,12/11/2023,1,,mv,ABMI.A.70110,2023
W1287-D,ABMI.2023.W1287-D.A, Field,13-Oct-23,6/28/2023,mv,Zygoptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Palaeoptera,Odonata,Zygoptera,Coenagrionidae,,,Coenagrion/Enallagma,Coenagrion/Enallagma,,nymph, Srayko,Stephen,12/11/2023,1,,mv,ABMI.A.70112,2023
W1170,ABMI.2023.W1170.A,Weller,13-Oct-23,6/29/2023,mv,Zygoptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Palaeoptera,Odonata,Zygoptera,Coenagrionidae,,,Coenagrion/Enallagma,Coenagrion/Enallagma,,nymph, Srayko,Stephen,12/11/2023,3,,mv,ABMI.A.70114,2023
W1036,ABMI.2023.W1036.A,Catbagan,24-Oct-23,7/13/2023,mv,Zygoptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Palaeoptera,Odonata,Zygoptera,Coenagrionidae,,,Coenagrion/Enallagma,Coenagrion/Enallagma,,nymph, Srayko,Stephen,12/11/2023,1,,mv,ABMI.A.70116,2023
W1200B,ABMI.2023.W1200B.A, Field,7-Nov-23,7/14/2023,mv,Zygoptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Palaeoptera,Odonata,Zygoptera,Coenagrionidae,,,Coenagrion/Enallagma,Coenagrion/Enallagma,,nymph, Srayko,Stephen,12/12/2023,1,,mv,ABMI.A.70128,2023
W1037,ABMI.2023.W1037.A, Srayko,10-Nov-23,7/14/2023,mv,Zygoptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Palaeoptera,Odonata,Zygoptera,Coenagrionidae,,,Coenagrion/Enallagma,Coenagrion/Enallagma,,nymph, Srayko,Stephen,12/12/2023,3,,mv,ABMI.A.70130,2023
