ABMI Site,RAM Lot,Sorting Tech.,Date Sorted,Date Collected,Collector(s),,,,,,Vials,Coarse Group,Kingdom,Phylum,SubPhylum,Class,SubClass,InfraClass,Order,SubOrder,Family,Subfamily,Genus,Species,Final Id,Authority,Life Stage,Determined,,,Specimen Count,Notes,Vial Storage,TMS Number,Year
W1649,ABMI.2018.W1649.A,Tebby,14-Aug-18,2018-07-4,Keenan,Kate,,,,,mv,Zygoptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Palaeoptera,Odonata,Zygoptera,Lestidae,,Lestes,sp.,Lestes,"Leach, 1815",nymph,Tebby,Cheryl,2018-10-11,2,,mv,ABMI.A.31204,2018
W1649,ABMI.2018.W1649.A,Tebby,14-Aug-18,2018-07-4,Keenan,Kate,,,,,mv,Hemiptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Corixidae,Cymatiinae,Cymatia,sp.,Cymatia,"Flor, 1860",juvenile,Tebby,Cheryl,2018-10-11,1,,mv,ABMI.A.31205,2018
W1649,ABMI.2018.W1649.A,Tebby,14-Aug-18,2018-07-4,Keenan,Kate,,,,,mv,Trichoptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Trichoptera,,Phryganeidae,Phryganeinae,Phryganea,sp.,Phryganea,"Linnaeus, 1758",larva,Tebby,Cheryl,2018-10-11,1,Specimen somewhat immature for certain ID,mv,ABMI.A.31206,2018
W1649,ABMI.2018.W1649.A,Tebby,14-Aug-18,2018-07-4,Keenan,Kate,,,,,mv,Coleoptera (larvae),Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Coleoptera,Adephaga,Haliplidae,,Haliplus,sp.,Haliplus,"Latreille, 1802",larva,Tebby,Cheryl,2018-10-11,3,,mv,ABMI.A.31207,2018
W1649,ABMI.2018.W1649.A,Tebby,14-Aug-18,2018-07-4,Keenan,Kate,,,,,mv,Coleoptera (larvae),Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Coleoptera,Adephaga,Dytiscidae,Hydroporinae,,UID,Hydroporinae,,larva,Tebby,Cheryl,2018-10-11,2,Urogompus broken,mv,ABMI.A.31209,2018
W1649,ABMI.2018.W1649.A,Tebby,14-Aug-18,2018-07-4,Keenan,Kate,,,,,mv,UMOS,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Palaeoptera,Odonata,Zygoptera,Lestidae,,Lestes,sp.,Lestes,"Leach, 1815",nymph,Tebby,Cheryl,2018-10-11,2,"males, unable to give species ID",mv,ABMI.A.31210,2018
W1649,ABMI.2018.W1649.A,Tebby,14-Aug-18,2018-07-4,Keenan,Kate,,,,,mv,UMOS,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Corixidae,Cymatiinae,Cymatia,sp.,Cymatia,"Flor, 1860",juvenile,Tebby,Cheryl,2018-10-11,1,,mv,ABMI.A.31211,2018
W1650,ABMI.2018.W1650.A,Moir,13-Aug-18,2018-07-6,Keenan,Kate,,,,,mv,Gastropoda,Animalia,Mollusca,,Gastropoda,,,Basommatophora,,Physidae,,Physa,skinneri,Physa skinneri,"Taylor, 1954",unknown,Tebby,Cheryl,2018-10-11,2,,mv,ABMI.A.31212,2018
W1650,ABMI.2018.W1650.A,Moir,13-Aug-18,2018-07-6,Keenan,Kate,,,,,mv,Hemiptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Notonectidae,Notonectinae,Notonecta,sp.,Notonecta,"Linnaeus, 1758",juvenile,Tebby,Cheryl,2018-10-11,1,,mv,ABMI.A.31213,2018
W1650,ABMI.2018.W1650.A,Moir,13-Aug-18,2018-07-6,Keenan,Kate,,,,,mv,Hemiptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Corixidae,Cymatiinae,Cymatia,sp.,Cymatia,"Flor, 1860",juvenile,Tebby,Cheryl,2018-10-11,1,,mv,ABMI.A.31214,2018
